p min 40422 98256
c min-cost flow problem with 40422 nodes and 98256 arcs
n 1          0
c supply of 1 at node          0
n 40422          0
c demand of 40422 at node          0
c arc list follows
c arc has <tail> <head> <cost>
a 1 2 5.0000000
a 2 3 -2.9999982
a 3 40422 5.0000000
a 1 4 5.0000000
a 4 5 -2.9999982
a 5 40422 5.0000000
a 1 6 5.0000000
a 6 7 -2.9999982
a 7 40422 5.0000000
a 1 8 5.0000000
a 8 9 -2.9999982
a 9 40422 5.0000000
a 1 10 5.0000000
a 10 11 -2.9999982
a 11 40422 5.0000000
a 1 12 5.0000000
a 12 13 -2.9999982
a 13 40422 5.0000000
a 1 14 5.0000000
a 14 15 -2.9999982
a 15 40422 5.0000000
a 1 16 5.0000000
a 16 17 -2.9999982
a 17 40422 5.0000000
a 1 18 5.0000000
a 18 19 -2.9999982
a 19 40422 5.0000000
a 1 20 5.0000000
a 20 21 -2.9999982
a 21 40422 5.0000000
a 1 22 5.0000000
a 22 23 -2.9999982
a 23 40422 5.0000000
a 1 24 5.0000000
a 24 25 -2.9999982
a 25 40422 5.0000000
a 1 26 5.0000000
a 26 27 -2.9999982
a 27 40422 5.0000000
a 1 28 5.0000000
a 28 29 -2.9999982
a 29 40422 5.0000000
a 1 30 5.0000000
a 30 31 -2.9999982
a 31 40422 5.0000000
a 1 32 5.0000000
a 32 33 -2.9999982
a 33 40422 5.0000000
a 1 34 5.0000000
a 34 35 -2.9999982
a 35 40422 5.0000000
a 1 36 5.0000000
a 36 37 -2.9999982
a 37 40422 5.0000000
a 1 38 5.0000000
a 38 39 -2.9999982
a 39 40422 5.0000000
a 1 40 5.0000000
a 40 41 -2.9999981
a 41 40422 5.0000000
a 1 42 5.0000000
a 42 43 -2.9999981
a 43 40422 5.0000000
a 1 44 5.0000000
a 44 45 -2.9999981
a 45 40422 5.0000000
a 1 46 5.0000000
a 46 47 -2.9999981
a 47 40422 5.0000000
a 1 48 5.0000000
a 48 49 -2.9999981
a 49 40422 5.0000000
a 1 50 5.0000000
a 50 51 -2.9999981
a 51 40422 5.0000000
a 1 52 5.0000000
a 52 53 -2.9999981
a 53 40422 5.0000000
a 1 54 5.0000000
a 54 55 -2.9999978
a 55 40422 5.0000000
a 1 56 5.0000000
a 56 57 -2.9999977
a 57 40422 5.0000000
a 1 58 5.0000000
a 58 59 -2.9999976
a 59 40422 5.0000000
a 1 60 5.0000000
a 60 61 -2.9999976
a 61 40422 5.0000000
a 1 62 5.0000000
a 62 63 -2.9999976
a 63 40422 5.0000000
a 1 64 5.0000000
a 64 65 -2.9999972
a 65 40422 5.0000000
a 1 66 5.0000000
a 66 67 -2.9999971
a 67 40422 5.0000000
a 1 68 5.0000000
a 68 69 -2.9999968
a 69 40422 5.0000000
a 1 70 5.0000000
a 70 71 -2.9999963
a 71 40422 5.0000000
a 1 72 5.0000000
